UTC,TroutLake_Inflow,Alder_Inflow,Rafting_Qmin,Rafting_Qmax
2000-01-01 00:00:00,9.91089645,1.441501203,,
2000-02-01 00:00:00,11.40766287,1.040828345,,
2000-03-01 00:00:00,12.32414447,1.174385964,,
2000-04-01 00:00:00,24.4732824,1.79611971,,
2000-05-01 00:00:00,35.9223942,2.063234949,14.08862247,18.78482996
2000-06-01 00:00:00,22.35938767,1.105304437,14.08862247,18.78482996
2000-07-01 00:00:00,14.84792293,0.165795666,14.08862247,18.78482996
2000-08-01 00:00:00,9.298373575,0.391461988,14.08862247,18.78482996
2000-09-01 00:00:00,3.596844855,0.096714138,14.08862247,18.78482996
2000-10-01 00:00:00,4.158707943,0.557257654,,
2000-11-01 00:00:00,9.109550733,0.842794633,,
2000-12-01 00:00:00,10.49118128,0.686209838,,
2001-01-01 00:00:00,11.61490746,0.75068593,,
2001-02-01 00:00:00,13.39721086,0.842794633,,
2001-03-01 00:00:00,16.64404264,0.916481596,,
2001-04-01 00:00:00,29.03266321,1.404657722,,
2001-05-01 00:00:00,36.19411487,4.886366698,14.08862247,18.78482996
2001-06-01 00:00:00,26.29703473,2.178370828,14.08862247,18.78482996
2001-07-01 00:00:00,10.53723563,0.686209838,14.08862247,18.78482996
2001-08-01 00:00:00,5.240985205,0.041448916,14.08862247,18.78482996
2001-09-01 00:00:00,1.717827312,0.46514895,14.08862247,18.78482996
2001-10-01 00:00:00,0.013816305,0.501992432,,
2001-11-01 00:00:00,2.754050222,0.990168558,,
2001-12-01 00:00:00,5.388359129,1.123726177,,
2002-01-01 00:00:00,7.787790844,1.040828345,,
2002-02-01 00:00:00,9.399693148,0.658577227,,
2002-03-01 00:00:00,9.791155136,1.003984863,,
2002-04-01 00:00:00,16.05915238,1.759276229,,
2002-05-01 00:00:00,16.29402957,0.824372892,14.08862247,18.78482996
2002-06-01 00:00:00,11.99715857,0.842794633,14.08862247,18.78482996
2002-07-01 00:00:00,7.34566907,0.096714138,14.08862247,18.78482996
2002-08-01 00:00:00,0.75068593,0.15197936,14.08862247,18.78482996
2002-09-01 00:00:00,1.95730994,0.506597867,14.08862247,18.78482996
2002-10-01 00:00:00,2.445486066,0.782923976,,
2002-11-01 00:00:00,3.122485034,0.469754386,,
2002-12-01 00:00:00,4.872550392,0.653971792,,
2003-01-01 00:00:00,6.208126587,0.810556587,,
2003-02-01 00:00:00,10.02142689,0.658577227,,
2003-03-01 00:00:00,11.04843893,0.796740282,,
2003-04-01 00:00:00,17.13682421,2.55601651,,
2003-05-01 00:00:00,29.99059372,1.971126246,14.08862247,18.78482996
2003-06-01 00:00:00,19.09873958,1.423079462,14.08862247,18.78482996
2003-07-01 00:00:00,29.84782523,1.082277261,14.08862247,18.78482996
2003-08-01 00:00:00,22.82914206,0.782923976,14.08862247,18.78482996
2003-09-01 00:00:00,14.95384794,0.667788097,14.08862247,18.78482996
2003-10-01 00:00:00,14.69594357,0.658577227,,
2003-11-01 00:00:00,14.95845338,1.160569659,,
2003-12-01 00:00:00,12.70639559,0.971746817,,
2004-01-01 00:00:00,11.53200962,1.003984863,,
2004-02-01 00:00:00,11.65175094,1.040828345,,
2004-03-01 00:00:00,16.12823391,1.257283797,,
2004-04-01 00:00:00,40.26071411,2.215214309,,
2004-05-01 00:00:00,46.26159612,3.034981766,14.08862247,18.78482996
2004-06-01 00:00:00,23.90220845,0.59870657,14.08862247,18.78482996
2004-07-01 00:00:00,9.132577909,0,14.08862247,18.78482996
2004-08-01 00:00:00,4.379768831,0.101319573,14.08862247,18.78482996
2004-09-01 00:00:00,3.242226348,0.276326109,14.08862247,18.78482996
2004-10-01 00:00:00,3.46789267,0.147373925,,
2004-11-01 00:00:00,4.794257995,0.658577227,,
2004-12-01 00:00:00,8.142409351,0.967141382,,
2005-01-01 00:00:00,8.142409351,0.967141382,,
